dataset,median,min,max,n_cells
livecodebench,0.502101535360549,0.33168643575544443,0.6801442217049769,8
math500,0.42638624938930936,0.3850424349171947,0.5556086996647795,8
mtbench,0.5004877014606239,0.378600316412136,0.6158812384499249,8
