model,dataset,config,signal,bin_mid,depth_k,prob_depth_accepted,n_steps_in_bin
llama,mtbench,static_7_1_8,t,0.5,0,1.0,728
llama,mtbench,static_7_1_8,t,0.5,1,0.43543956043956045,728
llama,mtbench,static_7_1_8,t,0.5,2,0.2664835164835165,728
llama,mtbench,static_7_1_8,t,0.5,3,0.18269230769230768,728
llama,mtbench,static_7_1_8,t,0.5,4,0.12637362637362637,728
llama,mtbench,static_7_1_8,t,0.5,5,0.08928571428571429,728
llama,mtbench,static_7_1_8,t,0.5,6,0.057692307692307696,728
llama,mtbench,static_7_1_8,t,0.7000000000000001,0,1.0,867
llama,mtbench,static_7_1_8,t,0.7000000000000001,1,0.71280276816609,867
llama,mtbench,static_7_1_8,t,0.7000000000000001,2,0.4786620530565167,867
llama,mtbench,static_7_1_8,t,0.7000000000000001,3,0.3402537485582468,867
llama,mtbench,static_7_1_8,t,0.7000000000000001,4,0.24567474048442905,867
llama,mtbench,static_7_1_8,t,0.7000000000000001,5,0.17531718569780855,867
llama,mtbench,static_7_1_8,t,0.7000000000000001,6,0.12918108419838523,867
llama,mtbench,static_7_1_8,t,0.9,0,1.0,1787
llama,mtbench,static_7_1_8,t,0.9,1,0.9535534415221041,1787
llama,mtbench,static_7_1_8,t,0.9,2,0.7308337996642418,1787
llama,mtbench,static_7_1_8,t,0.9,3,0.5685506435366536,1787
llama,mtbench,static_7_1_8,t,0.9,4,0.42697257974258535,1787
llama,mtbench,static_7_1_8,t,0.9,5,0.3424734191382205,1787
llama,mtbench,static_7_1_8,t,0.9,6,0.268047006155568,1787
qwen,livecodebench,static_7_1_8,t,0.1,0,1.0,5
qwen,livecodebench,static_7_1_8,t,0.1,1,0.6,5
qwen,livecodebench,static_7_1_8,t,0.1,2,0.0,5
qwen,livecodebench,static_7_1_8,t,0.1,3,0.0,5
qwen,livecodebench,static_7_1_8,t,0.1,4,0.0,5
qwen,livecodebench,static_7_1_8,t,0.1,5,0.0,5
qwen,livecodebench,static_7_1_8,t,0.1,6,0.0,5
qwen,livecodebench,static_7_1_8,t,0.30000000000000004,0,1.0,2098
qwen,livecodebench,static_7_1_8,t,0.30000000000000004,1,0.19018112488083888,2098
qwen,livecodebench,static_7_1_8,t,0.30000000000000004,2,0.07340324118207817,2098
qwen,livecodebench,static_7_1_8,t,0.30000000000000004,3,0.027645376549094377,2098
qwen,livecodebench,static_7_1_8,t,0.30000000000000004,4,0.010009532888465206,2098
qwen,livecodebench,static_7_1_8,t,0.30000000000000004,5,0.002859866539561487,2098
qwen,livecodebench,static_7_1_8,t,0.30000000000000004,6,0.00047664442326024784,2098
qwen,livecodebench,static_7_1_8,t,0.5,0,1.0,6278
qwen,livecodebench,static_7_1_8,t,0.5,1,0.33482000637145587,6278
qwen,livecodebench,static_7_1_8,t,0.5,2,0.12934055431666136,6278
qwen,livecodebench,static_7_1_8,t,0.5,3,0.04762663268556865,6278
qwen,livecodebench,static_7_1_8,t,0.5,4,0.019592226823829245,6278
qwen,livecodebench,static_7_1_8,t,0.5,5,0.008920038228735267,6278
qwen,livecodebench,static_7_1_8,t,0.5,6,0.002548582351067219,6278
qwen,livecodebench,static_7_1_8,t,0.7000000000000001,0,1.0,5474
qwen,livecodebench,static_7_1_8,t,0.7000000000000001,1,0.5396419437340153,5474
qwen,livecodebench,static_7_1_8,t,0.7000000000000001,2,0.24260138838143952,5474
qwen,livecodebench,static_7_1_8,t,0.7000000000000001,3,0.0968213372305444,5474
qwen,livecodebench,static_7_1_8,t,0.7000000000000001,4,0.04512239678480088,5474
qwen,livecodebench,static_7_1_8,t,0.7000000000000001,5,0.018816222141030327,5474
qwen,livecodebench,static_7_1_8,t,0.7000000000000001,6,0.007124588966021191,5474
qwen,livecodebench,static_7_1_8,t,0.9,0,1.0,6448
qwen,livecodebench,static_7_1_8,t,0.9,1,0.8407258064516129,6448
qwen,livecodebench,static_7_1_8,t,0.9,2,0.4381203473945409,6448
qwen,livecodebench,static_7_1_8,t,0.9,3,0.21370967741935484,6448
qwen,livecodebench,static_7_1_8,t,0.9,4,0.1011166253101737,6448
qwen,livecodebench,static_7_1_8,t,0.9,5,0.04590570719602978,6448
qwen,livecodebench,static_7_1_8,t,0.9,6,0.017679900744416874,6448
qwen,math500,static_7_1_8,t,0.1,0,1.0,3
qwen,math500,static_7_1_8,t,0.1,1,0.0,3
qwen,math500,static_7_1_8,t,0.1,2,0.0,3
