model,dataset,cheap_threshold,cheap_percentile,premium_threshold,premium_percentile
llama,livecodebench,0.8155083656311035,0.548211269768156,0.33353736996650696,0.14985413787808996
llama,math500,,,0.33922699093818665,0.04710673941443172
llama,mtbench,,,0.34985679388046265,0.044445999860012596
qwen,livecodebench,,,0.3486778438091278,0.042338427029300435
qwen,math500,,,0.35380876064300537,0.043559454529662124
qwen,mtbench,,,0.3778989017009735,0.04186506387739703
