model,dataset,config,decile,signal_mid,overspend,underspend,mean_al,n
llama,livecodebench,static_3_1_4,0,0.003343944437801838,0.0,0.07142857142857142,1.0857142857142856,70
llama,livecodebench,static_7_1_8,0,0.003343944437801838,6.912087912087912,0.0,1.0879120879120878,182
llama,livecodebench,static_7_4_8,0,0.003343944437801838,6.865079365079365,0.0,1.1349206349206349,126
llama,livecodebench,static_6_10_60,0,0.003343944437801838,58.45081081081081,0.00972972972972973,1.5491891891891891,925
llama,livecodebench,static_3_1_4,1,0.014272972010076046,0.0,0.13836477987421383,1.1886792452830188,159
llama,livecodebench,static_7_1_8,1,0.014272972010076046,6.582222222222223,0.0044444444444444444,1.4177777777777778,225
llama,livecodebench,static_7_4_8,1,0.014272972010076046,6.52258064516129,0.0,1.4774193548387098,155
llama,livecodebench,static_6_10_60,1,0.014272972010076046,57.17931937172775,0.0693717277486911,2.8206806282722514,764
llama,livecodebench,static_3_1_4,2,0.030947431921958923,0.0,0.22702702702702704,1.3621621621621622,185
llama,livecodebench,static_7_1_8,2,0.030947431921958923,6.47986577181208,0.016778523489932886,1.5201342281879195,298
llama,livecodebench,static_7_4_8,2,0.030947431921958923,6.304545454545455,0.004545454545454545,1.6954545454545455,220
llama,livecodebench,static_6_10_60,2,0.030947431921958923,56.482470784641066,0.2854757929883139,3.5175292153589317,599
llama,livecodebench,static_3_1_4,3,0.0552188865840435,0.0,0.25888324873096447,1.385786802030457,197
llama,livecodebench,static_7_1_8,3,0.0552188865840435,6.14868804664723,0.023323615160349854,1.8513119533527698,343
llama,livecodebench,static_7_4_8,3,0.0552188865840435,6.072243346007604,0.011406844106463879,1.9277566539923954,263
llama,livecodebench,static_6_10_60,3,0.0552188865840435,54.858,0.616,5.142,500
llama,livecodebench,static_3_1_4,4,0.09104469418525696,0.0,0.38095238095238093,1.6080586080586081,273
llama,livecodebench,static_7_1_8,4,0.09104469418525696,5.749303621169917,0.06128133704735376,2.2506963788300838,359
llama,livecodebench,static_7_4_8,4,0.09104469418525696,5.7595818815331015,0.013937282229965157,2.240418118466899,287
