signal,max_ks,mean_ks,max_ks_within_model,max_ks_across_model,decision_gate
top1_prob,0.3165917671405664,0.16845930869563014,0.3165917671405664,0.28375399040455285,per-model thresholds
target_top1_prob,0.3213829871345376,0.16703037447888622,0.19700325256649565,0.3213829871345376,per-model thresholds
rolling_accept_rate,0.4409676769915045,0.2280132112563437,0.3337024937777909,0.4409676769915045,per-model thresholds
DOG,0.38414011433769785,0.21474765370661716,0.34348758922678746,0.38414011433769785,per-model thresholds
t,0.3238594784701621,0.1671956366234002,0.3238594784701621,0.26536317159099676,per-model thresholds
