dataset,median,min,max,n_cells
livecodebench,0.5931312948705292,0.34312170148908594,0.7236188323490884,8
math500,0.5171017352800424,0.3957019664735403,0.593070214883929,8
mtbench,0.5354803684557112,0.40312092075275274,0.636408939458357,8
